Time [s],Value,Parity Error,Framing Error
0.014698937500000,0x01,,
0.014798875000000,0x03,,
0.014898875000000,0x04,,
0.014998875000000,0x11,,
0.015098875000000,0x11,,
0.015198875000000,0x22,,
0.015298875000000,0x22,,
0.015398875000000,0x37,,
0.015498875000000,0xB3,,
0.269192687500000,0x01,,
0.269292687500000,0x03,,
0.269392687500000,0x04,,
0.269492687500000,0x11,,
0.269592687500000,0x11,,
0.269692687500000,0x22,,
0.269792687500000,0x22,,
0.269892687500000,0x37,,
0.269992687500000,0xB3,,
0.523186562500000,0x01,,
0.523286500000000,0x03,,
0.523386500000000,0x04,,
0.523486500000000,0x11,,
0.523586500000000,0x11,,
0.523686500000000,0x22,,
0.523786500000000,0x22,,
0.523886500000000,0x37,,
0.523986500000000,0xB3,,
0.777480375000000,0x01,,
0.777580312500000,0x03,,
0.777680312500000,0x04,,
0.777780312500000,0x11,,
0.777880312500000,0x11,,
0.777980312500000,0x22,,
0.778080312500000,0x22,,
0.778180312500000,0x37,,
0.778280312500000,0xB3,,
1.031374187500000,0x01,,
1.031474125000000,0x03,,
1.031574125000000,0x04,,
1.031674125000000,0x11,,
1.031774125000000,0x11,,
1.031874125000000,0x22,,
1.031974125000000,0x22,,
1.032074125000000,0x37,,
1.032174125000000,0xB3,,
1.285768000000000,0x01,,
1.285867937500000,0x03,,
1.285967937500000,0x04,,
1.286067937500000,0x11,,
1.286167937500000,0x11,,
1.286267937500000,0x22,,
1.286367937500000,0x22,,
1.286467937500000,0x37,,
1.286567937500000,0xB3,,
1.539761812500000,0x01,,
1.539861750000000,0x03,,
1.539961750000000,0x04,,
1.540061750000000,0x11,,
1.540161750000000,0x11,,
1.540261750000000,0x22,,
1.540361750000000,0x22,,
1.540461750000000,0x37,,
1.540561750000000,0xB3,,
1.793955625000000,0x01,,
1.794055562500000,0x03,,
1.794155562500000,0x04,,
1.794255562500000,0x11,,
1.794355562500000,0x11,,
1.794455562500000,0x22,,
1.794555562500000,0x22,,
1.794655562500000,0x37,,
1.794755562500000,0xB3,,
2.047949437500000,0x01,,
2.048049375000000,0x03,,
2.048149375000000,0x04,,
2.048249375000000,0x11,,
2.048349375000000,0x11,,
2.048449375000000,0x22,,
2.048549375000000,0x22,,
2.048649375000000,0x37,,
2.048749375000000,0xB3,,
2.302243250000000,0x01,,
2.302343187500000,0x03,,
2.302443187500000,0x04,,
2.302543187500000,0x11,,
2.302643187500000,0x11,,
2.302743187500000,0x22,,
2.302843187500000,0x22,,
2.302943187500000,0x37,,
2.303043187500000,0xB3,,
2.556637062500000,0x01,,
2.556737000000000,0x03,,
2.556837000000000,0x04,,
2.556937000000000,0x11,,
2.557037000000000,0x11,,
2.557137000000000,0x22,,
2.557237000000000,0x22,,
2.557337000000000,0x37,,
2.557437000000000,0xB3,,
